Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode
 2018-03-15,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_7/1,, Offline ,30.0,Fixed,4.000%,4.513%,"500,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_5/1,, Offline ,30.0,Fixed,4.000%,4.613%,"500,000 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30 Yr Fixed,,Offline,30.0,Fixed,4.6250%,4.8150%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,20YMF,20 Yr Fixed,,Offline,20.0,Fixed,4.3750%,4.6320%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,15YMF,15 Yr Fixed,,Offline,15.0,Fixed,3.8750%,4.2340%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,10YMF,10 Yr Fixed,,Offline,10.0,Fixed,3.7500%,4.2660%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,3-1 ARM,,Offline,30.0,Variable,3.8750%,4.8570%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,5-1 ARM,,Offline,30.0,Variable,3.8750%,4.7580%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,7-1 ARM,,Offline,30.0,Variable,4.0000%,4.7130%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
 2018-03-15,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMV,10-1 ARM,,Offline,30.0,Variable,4.2500%,4.7110%,100000,20%,720+,New Purchase,Primary Residence,Principal + Interest
