Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term_in_Year,Interest_Type,Interest,APR,Mortgage_Loan_Amt,Mortgage_Down_Payment,Credit_Score,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode
03-09-2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,,Offline,15,Fixed,4.38%,4.85%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_7/1,,Offline,30,Fixed,4.50%,5.06%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_5/1,,Offline,30,Fixed,4.88%,5.13%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,,Offline,30,Fixed,4.63%,4.71%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,20YMF,Mortgage_20-yr,,Offline,20,Fixed,4.38%,4.51%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,,Offline,15,Fixed,4.13%,4.26%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_7/1,,Offline,30,Fixed,4.50%,4.77%," 3,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_30-yr,,Offline,30,Fixed,4.63%,4.68%," 5,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,15YMF,Mortgage_15-yr,,Offline,15,Fixed,4.38%,4.54%," 5,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_7/1,,Offline,30,Fixed,4.00%,4.45%," 5,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Mortgages,Mortgages,30YMF,Mortgage_5/1,,Offline,30,Fixed,4.00%,4.53%," 5,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,30YMF,30 Yr Fixed,,Offline,30,Fixed,4.63%,4.83%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
03-09-2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Mortgages,Mortgages,20YMF,20 Yr Fixed,,Offline,20,Fixed,4.38%,4.65%," 1,00,000.00 ",20%,720+,New Purchase,Primary Residence,Principal + Interest
