Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Balance,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Money Market,_MCDV,Premiere Money Market Account,,500000.0,999999.99,offline,,Variable,0.17%,0.17%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,Money Market,_MCDV,Premiere Money Market Account,,1000000.0,,offline,,Variable,0.17%,0.17%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,Fixed Rate Certificate of Deposit,,1.0,999.99,offline,6.0,Fixed,0.04%,0.04%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,Fixed Rate Certificate of Deposit,,1000.0,9999.99,offline,6.0,Fixed,0.06%,0.06%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,Fixed Rate Certificate of Deposit,,10000.0,24999.99,offline,6.0,Fixed,0.08%,0.08%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,Fixed Rate Certificate of Deposit,,25000.0,99999.99,offline,6.0,Fixed,0.1%,0.1%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,Fixed Rate Certificate of Deposit,,100000.0,499999.99,offline,6.0,Fixed,0.12%,0.12%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,6MCDF,Fixed Rate Certificate of Deposit,,500000.0,,offline,6.0,Fixed,0.14%,0.14%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,Fixed Rate Certificate of Deposit,,1.0,999.99,offline,12.0,Fixed,0.04%,0.04%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,Fixed Rate Certificate of Deposit,,1000.0,9999.99,offline,12.0,Fixed,0.15%,0.15%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,Fixed Rate Certificate of Deposit,,10000.0,24999.99,offline,12.0,Fixed,0.18%,0.18%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,Fixed Rate Certificate of Deposit,,25000.0,99999.99,offline,12.0,Fixed,0.2%,0.2%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,Fixed Rate Certificate of Deposit,,100000.0,499999.99,offline,12.0,Fixed,0.22%,0.22%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,Fixed Rate Certificate of Deposit,,500000.0,,offline,12.0,Fixed,0.24%,0.24%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,Fixed Rate Certificate of Deposit,,1.0,999.99,offline,36.0,Fixed,0.04%,0.04%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,Fixed Rate Certificate of Deposit,,1000.0,9999.99,offline,36.0,Fixed,0.3%,0.3%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,Fixed Rate Certificate of Deposit,,10000.0,24999.99,offline,36.0,Fixed,0.35%,0.35%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,Fixed Rate Certificate of Deposit,,25000.0,99999.99,offline,36.0,Fixed,0.4%,0.4%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,Fixed Rate Certificate of Deposit,,100000.0,499999.99,offline,36.0,Fixed,0.45%,0.45%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,36MCDF,Fixed Rate Certificate of Deposit,,500000.0,,offline,36.0,Fixed,0.5%,0.5%
 2018-03-19,US,New York,PNC FINANCIAL SERVICES GROUP INC,PNC,USD,Bank,Deposits,CD,12MCDF,Ready Access Certificate of Deposit,,1000.0,,offline,12.0,Fixed,0.15%,0.15%
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Essential Savings,,0,,Offline,,Variable,,
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Select Savings,,"1,000",,Offline,,Variable,0.01%,0.01%
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Select Savings,,,"2,499.99",Offline,,Variable,,
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Select Savings,,"2,500","9,999.99",Offline,,Variable,,
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Select Savings,,"10,000","24,999.99",Offline,,Variable,,
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Select Savings,,"25,000","49,999.99",Offline,,Variable,,
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Select Savings,,"50,000","99,999.99",Offline,,Variable,,
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Select Savings,,"100,000","249,999.99",Offline,,Variable,,
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Select Savings,,"250,000","499,999.99",Offline,,Variable,,
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Select Savings,,"500,000","999,999.99",Offline,,Variable,,
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Select Savings,,1,,Offline,,Variable,,
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Balanced Banking,,"3,000",,Offline,,Variable,,
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Essential Checking,,500,,Offline,,Variable,,
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Select Checking,,,"2,499.99",Offline,,Variable,,0.01%
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Select Checking,,"2,500","9,999.99",Offline,,Variable,,0.01%
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Select Checking,,"10,000","24,999.99",Offline,,Variable,,0.01%
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Select Checking,,"25,000",,Offline,,Variable,,0.01%
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,,,"9,999.99",Offline,,Variable,,0.01%
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,,"10,000","24,999.99",Offline,,Variable,,0.01%
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,,"25,000","49,999.99",Offline,,Variable,,0.01%
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,,"50,000","99,999.99",Offline,,Variable,,0.01%
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,,"100,000","249,999.99",Offline,,Variable,,0.01%
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,,"250,000","499,999.99",Offline,,Variable,,0.01%
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,,"500,000","999,999.99",Offline,,Variable,,0.01%
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,,"1,000,000","1,999,999.99",Offline,,Variable,,0.01%
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Checking,_MCCV,Signature Advantage Checking,,"2,000,000",,Offline,,Variable,,0.01%
 2018-03-19,US,New York,SUNTRUST BANKS INC,STI,USD,Bank,Deposits,Savings,_MSBV,Signature Advantage Brokerage,,,"9,999.99",Offline,,Variable,,0.01%
