Date,Bank_Native_Country,Zip_code,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Name,Balance,Bank_Offer_Feature,Product_Term,Product_Interest,Product_Apy,Mortgage_Loan,Mortgage_Down_Payment,Min_Credit_Score_Mortagage,Mortgage_Apr
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Adjustable Rate Mortgage _ 7/1,,Online,360 Months,3.75%,,"300,000.00",20%,720+,4.39%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Adjustable Rate Mortgage _ 5/1,,Online,360 Months,4.50%,,"300,000.00",20%,720+,4.69%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Adjustable Rate Mortgage _ 5/1,,Online,360 Months,4.38%,,"300,000.00",20%,720+,4.65%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Adjustable Rate Mortgage _ 5/1,,Online,360 Months,4.25%,,"300,000.00",20%,720+,4.62%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Adjustable Rate Mortgage _ 5/1,,Online,360 Months,4.13%,,"300,000.00",20%,720+,4.58%
8/3/2018,USA,New York,ALLY,USD,BANK,Mortgage,,Adjustable Rate Mortgage _ 5/1,,Online,360 Months,3.75%,,"300,000.00",20%,720+,4.50%
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,Savings,Rewards Savings,"Less than $2,500",Offline,,0.03%,0.03%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,Savings,Rewards Savings,"$2,500 and over",Offline,,0.03%,0.03%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,Savings,Rewards Savings Gold,"Less than $2,500",Offline,,0.04%,0.04%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,Savings,Rewards Savings Gold,"$2,500 and over",Offline,,0.04%,0.04%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,Savings,Rewards Savings Platinum,"Less than $2,500",Offline,,0.05%,0.05%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,Savings,Rewards Savings Platinum,"$2,500 and over",Offline,,0.05%,0.05%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,Savings,Rewards Savings Platinum Honors,"Less than $2,500",Offline,,0.06%,0.06%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,Savings,Rewards Savings Platinum Honors,"$2,500 and over",Offline,,0.06%,0.06%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,Savings,Banking Rewards for Wealth Management,"Less than $2,500",Offline,,0.06%,0.06%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,Savings,Banking Rewards for Wealth Management,"$2,500 and over",Offline,,0.06%,0.06%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,Checking,Bank of America Interest Checking,"Less than $50,000",Offline,,0.01%,0.01%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,Checking,Bank of America Interest Checking,"$50,000 - $99,999",Offline,,0.02%,0.02%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,Checking,Bank of America Interest Checking,"$100,000 and over",Offline,,0.02%,0.02%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,IRA CDs,Fixed Term CD/IRA Products,"Less than $10,000",Offline,06 - 11 Months,0.03%,0.03%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,IRA CDs,Fixed Term CD/IRA Products,"Less than $10,000",Offline,12 - 17 Months,0.05%,0.05%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,IRA CDs,Fixed Term CD/IRA Products,"Less than $10,000",Offline,18 - 23 Months,0.07%,0.07%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,IRA CDs,Fixed Term CD/IRA Products,"Less than $10,000",Offline,24 - 35 Months,0.1%,0.1%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,IRA CDs,Fixed Term CD/IRA Products,"Less than $10,000",Offline,36 - 47 Months,0.55%,0.55%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,IRA CDs,Fixed Term CD/IRA Products,"Less than $10,000",Offline,48 - 59 Months,0.65%,0.65%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,IRA CDs,Fixed Term CD/IRA Products,"Less than $10,000",Offline,60 - 119 Months,0.75%,0.75%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,IRA CDs,Fixed Term CD/IRA Products,"Less than $10,000",Offline,120 Months,0.75%,0.75%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,IRA CDs,Fixed Term CD/IRA Products,"$10,000 - $99,999",Offline,06 - 11 Months,0.03%,0.03%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,IRA CDs,Fixed Term CD/IRA Products,"$10,000 - $99,999",Offline,12 - 17 Months,0.05%,0.05%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,IRA CDs,Fixed Term CD/IRA Products,"$10,000 - $99,999",Offline,18 - 23 Months,0.07%,0.07%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,IRA CDs,Fixed Term CD/IRA Products,"$10,000 - $99,999",Offline,24 - 35 Months,0.1%,0.1%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,IRA CDs,Fixed Term CD/IRA Products,"$10,000 - $99,999",Offline,36 - 47 Months,0.55%,0.55%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,IRA CDs,Fixed Term CD/IRA Products,"$10,000 - $99,999",Offline,48 - 59 Months,0.65%,0.65%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,IRA CDs,Fixed Term CD/IRA Products,"$10,000 - $99,999",Offline,60 - 119 Months,0.75%,0.75%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,IRA CDs,Fixed Term CD/IRA Products,"$10,000 - $99,999",Offline,120 Months,0.75%,0.75%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,IRA CDs,Fixed Term CD/IRA Products,"$100,000 and over",Offline,06 - 11 Months,0.03%,0.03%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,IRA CDs,Fixed Term CD/IRA Products,"$100,000 and over",Offline,12 - 17 Months,0.05%,0.05%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,IRA CDs,Fixed Term CD/IRA Products,"$100,000 and over",Offline,18 - 23 Months,0.07%,0.07%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,IRA CDs,Fixed Term CD/IRA Products,"$100,000 and over",Offline,24 - 35 Months,0.1%,0.1%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,IRA CDs,Fixed Term CD/IRA Products,"$100,000 and over",Offline,36 - 47 Months,0.55%,0.55%,,,,
03-07-2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Deposits,IRA CDs,Fixed Term CD/IRA Products,"$100,000 and over",Offline,120 Months,0.75%,0.75%,,,,
3/8/2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Mortgage,Mortgage,30-year fixed,,offline,30 yrs ,4.38%,,"$100,000 ",20%,740,4.73%
3/8/2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Mortgage,Mortgage,20-year fixed,,offline,20 yrs ,4.25%,,"$100,000 ",20%,740,4.75%
3/8/2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Mortgage,Mortgage,15-year fixed,,offline,15 yrs ,4.00%,,"$100,000 ",20%,740,4.66%
3/8/2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Mortgage,Mortgage,10/1 ARM,,offline,30 yrs ,4.25%,,"$100,000 ",20%,740,4.81%
3/8/2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Mortgage,Mortgage,7/1 ARM,,offline,30 yrs ,4.00%,,"$100,000 ",20%,740,4.76%
3/8/2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Mortgage,Mortgage,5/1 ARM,,offline,30 yrs ,3.88%,,"$100,000 ",20%,740,4.80%
3/8/2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Mortgage,Mortgage,30-year fixed,,offline,30 yrs ,4.25%,,"$300,000 ",20%,740,4.40%
3/8/2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Mortgage,Mortgage,20-year fixed,,offline,20 yrs ,4.13%,,"$300,000 ",20%,740,4.33%
3/8/2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Mortgage,Mortgage,15-year fixed,,offline,15 yrs ,3.88%,,"$300,000 ",20%,740,4.17%
3/8/2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Mortgage,Mortgage,10/1 ARM,,offline,30 yrs ,4.00%,,"$300,000 ",20%,740,4.45%
3/8/2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Mortgage,Mortgage,7/1 ARM,,offline,30 yrs ,3.75%,,"$300,000 ",20%,740,4.43%
3/8/2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Mortgage,Mortgage,5/1 ARM,,offline,30 yrs ,3.63%,,"$300,000 ",20%,740,4.50%
3/8/2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Mortgage,Mortgage,30-year fixed,,offline,30 yrs ,4.38%,,"$500,000 ",20%,740,4.47%
3/8/2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Mortgage,Mortgage,20-year fixed,,offline,20 yrs ,,,"$500,000 ",20%,740,
3/8/2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Mortgage,Mortgage,15-year fixed,,offline,15 yrs ,4.13%,,"$500,000 ",20%,740,4.32%
3/8/2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Mortgage,Mortgage,10/1 ARM,,offline,30 yrs ,,,"$500,000 ",20%,740,
3/8/2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Mortgage,Mortgage,7/1 ARM,,offline,30 yrs ,4.50%,,"$500,000 ",20%,740,4.76%
3/8/2018,USA,New York,BANK OF AMERICA CORP,USD,BANK,Mortgage,Mortgage,5/1 ARM,,offline,30 yrs ,4.50%,,"$500,000 ",20%,740,4.79%
03-08-2018,USA,New York,CAPITAL ONE,USD,BANK,Deposits,Savings,360 Money Market,"less than $10,000.00",Online/Mobile,,0.847%,0.850%,,,,
03-08-2018,USA,New York,CAPITAL ONE,USD,BANK,Deposits,Savings,360 Money Market,"more than $10,000.00",Online/Mobile,,1.490%,1.500%,,,,
03-08-2018,USA,New York,CAPITAL ONE,USD,BANK,Deposits,Savings,360 Savings,0,Online/Mobile,,0.995%,1.000%,,,,
03-08-2018,USA,New York,CAPITAL ONE,USD,BANK,Deposits,Savings,360 IRA Savings Traditional,0,Online/Mobile,,0.995%,1.000%,,,,
03-08-2018,USA,New York,CAPITAL ONE,USD,BANK,Deposits,Savings,360 IRA Savings Roth,$0.00 ,Online/Mobile,,0.995%,1.000%,,,,
03-08-2018,USA,New York,CAPITAL ONE,USD,BANK,Deposits,CDs,360 CDs 12 months,$0 ,Online/Mobile,,,2.000%,,,,
