Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,6MCDF,6 months,"Below $10,000",Offline,6,Fixed,0.07%,0.07%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,6MCDF,6 months,"$10,000-$24,999.99",Offline,6,Fixed,0.07%,0.07%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,6MCDF,6 months,"$25,000-$49,999.99",Offline,6,Fixed,0.07%,0.07%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,6MCDF,6 months,"$50,000-$99,999.99",Offline,6,Fixed,0.07%,0.07%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,6MCDF,6 months,"$100,000-$499,999.99",Offline,6,Fixed,0.07%,0.07%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,6MCDF,6 months,"$500,000-$999,999.99",Offline,6,Fixed,0.07%,0.07%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,6MCDF,6 months,"$1,000,000+",Offline,6,Fixed,0.07%,0.07%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,12MCDF,1 year,"Below $10,000",Offline,12,Fixed,0.25%,0.25%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,12MCDF,1 year,"$10,000-$24,999.99",Offline,12,Fixed,0.25%,0.25%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,12MCDF,1 year,"$25,000-$49,999.99",Offline,12,Fixed,0.25%,0.25%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,12MCDF,1 year,"$50,000-$99,999.99",Offline,12,Fixed,0.25%,0.25%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,12MCDF,1 year,"$100,000-$499,999.99",Offline,12,Fixed,0.25%,0.25%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,12MCDF,1 year,"$500,000-$999,999.99",Offline,12,Fixed,0.25%,0.25%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,12MCDF,1 year,"$1,000,000+",Offline,12,Fixed,0.25%,0.25%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,36MCDF,3 years,"Below $10,000",Offline,36,Fixed,0.70%,0.70%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,36MCDF,3 years,"$10,000-$24,999.99",Offline,36,Fixed,0.70%,0.70%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,36MCDF,3 years,"$25,000-$49,999.99",Offline,36,Fixed,0.70%,0.70%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,36MCDF,3 years,"$50,000-$99,999.99",Offline,36,Fixed,0.70%,0.70%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,36MCDF,3 years,"$100,000-$499,999.99",Offline,36,Fixed,0.70%,0.70%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,36MCDF,3 years,"$500,000-$999,999.99",Offline,36,Fixed,0.70%,0.70%
3/9/2018,US,New York,CITIGROUP INC,USD,Bank,Deposits,CD,36MCDF,3 years,"$1,000,000+",Offline,36,Fixed,0.70%,0.70%
3/9/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Deposits,Checking,_MCCV,Chase Premier Plus Checking SM,,Offline,,Variable,0.01%,0.01%
3/9/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Deposits,Savings,_MSBV,Chase Savings SM,,Offline,,Variable,0.01%,0.01%
3/9/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Deposits,CD,36M_CD,CERTIFICATES OF DEPOSIT (CD) ,,Offline,36,Fixed,0.05%,0.05%
3/9/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Deposits,CD,6M_CD,CERTIFICATES OF DEPOSIT (CD) ,,Offline,6,Fixed,0.01%,0.01%
3/9/2018,US,New York,JP MORGAN CHASE & Co.,USD,Bank,Deposits,CD,12M_CD,CERTIFICATES OF DEPOSIT (CD) ,,Offline,12,Fixed,0.01%,0.01%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Interest Checking,"$2,000.00 - $9,999.99",offline,,Variable,0.01%,0.01%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Interest Checking,"$10,000.00 - $49,999.99",offline,,Variable,0.01%,0.01%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Interest Checking,"$50,000.00 - $99,999.99",offline,,Variable,0.01%,0.01%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Interest Checking,"$100,000.00 and above",offline,,Variable,0.01%,0.01%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Select Interest Checking,"$2,000.00 - $9,999.99",offline,,Variable,0.01%,0.01%
3/9/2018,US,New York,PNC FINANCIAL SERVICES GROUP INC,USD,Bank,Deposits,Checking,_MCCV,Performance Select Interest Checking,"$10,000.00 - $49,999.99",offline,,Variable,0.01%,0.01%
